Well,npeak,main_tm,Sample,Censor,Tissue,Extractions
A1,10,82.6468468468468,A1,amp fail,A,1
A2,5,86.0459459459459,A1,,A,1
A3,2,86.0657657657658,E1,,E,1
A4,2,86.154954954955,E1,,E,1
A5,3,86.1153153153153,G1,,G,1
A6,3,86.0855855855856,G1,,G,1
A9,4,85.6693693693694,R.sph,,R.sph,1
A10,6,85.6495495495495,R.sph,,R.sph,1
A11,4,86.0756756756757,E.coli,,E.coli,1
A12,7,86.1054054054054,E.coli,,E.coli,1
B1,8,86.0657657657658,A2,,A,2
B2,3,85.8774774774775,A2,,A,2
B3,2,85.9666666666667,E2,,E,2
B4,4,86.036036036036,E2,,E,2
B5,4,86.0657657657658,G2,,G,2
B6,3,86.0558558558559,G2,,G,2
B9,6,84.4603603603604,H.flu,,H.flu,1
B10,5,84.4405405405405,H.flu,,H.flu,1
B11,6,84.4504504504504,mixed bac,,mixed bac,1
B12,5,84.4702702702703,mixed bac,,mixed bac,1
C1,5,85.9567567567568,A3,,A,3
C2,4,85.818018018018,A3,,A,3
C3,1,85.9468468468468,E3,,E,3
C4,2,86.0063063063063,E3,,E,3
C5,4,85.9963963963964,G3,,G,3
C6,3,86.145045045045,G3,,G,3
C11,8,85.3423423423423,TE,neg ctrl,TE,0
C12,9,86.2738738738739,H2O,neg ctrl,H2O,0
D1,4,85.9072072072072,A4,,A,4
D2,1,85.8378378378378,A4,,A,4
D3,4,86.0558558558559,E4,,E,4
D4,3,86.2243243243243,E4,,E,4
D5,3,86.2738738738739,G4,,G,4
D6,4,86.4126126126126,G4,,G,4
E1,4,85.6495495495495,C1,,C,1
E2,5,85.6099099099099,C1,,C,1
E3,1,86.0954954954955,F1,,F,1
E4,4,86.1945945945946,F1,,F,1
E5,3,86.1747747747748,H1,,H,1
E6,2,86.1846846846847,H1,,H,1
F1,3,85.5603603603604,C2,,C,2
F2,4,85.5603603603604,C2,,C,2
F3,4,86.0063063063063,F2,,F,2
F4,3,86.0954954954955,F2,,F,2
F5,3,86.0657657657658,H2,,H,2
F6,2,86.0558558558559,H2,,H,2
G1,4,85.5900900900901,C3,,C,3
G2,4,85.5900900900901,C3,,C,3
G3,3,85.9567567567568,F3,,F,3
G4,3,86.0063063063063,F3,,F,3
G5,5,86.0162162162162,H3,,H,3
G6,2,85.9567567567568,H3,,H,3
H1,4,85.6198198198198,C4,,C,4
H2,2,85.5603603603604,C4,,C,4
H3,2,85.9567567567568,F4,,F,4
H4,2,85.9666666666667,F4,,F,4
H5,3,85.9765765765766,H4,,H,4
H6,3,85.9666666666667,H4,,H,4
