# CTAB-BC on root voucher material, extracted 2015-01-26 by CRS
# Testing extraction repeatability: 2 sets 15-30-45 mg root per species,
# Regress yield against tissue weight.
# Gel: 0.8% agarose with 0.01% ethidium bromide
# Loaded 10 µL sample + 2 µL loading dye per lane
# Ladder: 2 µL 1 KB + 2 µL loading dye
# Run at 75 V for 45 min (7:55-8:40)
row, lane, id, tube label, notes
1, 1,,,
1, 2, 1 KB,,
1, 3, AnGe 15, 01A,
1, 4, AnGe 30, 11A,
1, 5, AnG3 45, 21A,
1, 6, SiIn 15, 02A,
1, 7, SiIn 30, 12A,
1, 8, SiIn 45, 22A,
1, 9, DaPu 15, 03A,
1, 10, DaPu 30, 13A, 
1, 11, DaPu 45, 23A,
1, 12, H2O, 34A
1, 13,
1, 14,
1, 15,
2, 1,,,
2, 2, 1 KB,,
2, 3, AnGe 15, 01B,
2, 4, AnGe 30, 11B,
2, 5, AnG3 45, 21B,
2, 6, SiIn 15, 02B,
2, 7, SiIn 30, 12B,
2, 8, SiIn 45, 22B,
2, 9, DaPu 15, 03B,
2, 10, DaPu 30, 13B, 
2, 11, DaPu 45, 23B,
2, 12,,
2, 13,,
2, 14,,
2, 15,,
