,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Unkn,A1,None
,A02,SYBR,,Unkn,A1,86.1
,A03,SYBR,,Unkn,E1,86.1
,A04,SYBR,,Unkn,E1,None
,A05,SYBR,,Unkn,G1,None
,A06,SYBR,,Unkn,G1,None
,A07,SYBR,,Unkn,,None
,A08,SYBR,,Unkn,,None
,A09,SYBR,,Unkn,R.sph,85.7
,A10,SYBR,,Unkn,R.sph,85.7
,A11,SYBR,,Unkn,E.coli,86.1
,A12,SYBR,,Unkn,E.coli,86.1
,B01,SYBR,,Unkn,A2,None
,B02,SYBR,,Unkn,A2,85.9
,B03,SYBR,,Unkn,E2,86
,B04,SYBR,,Unkn,E2,None
,B05,SYBR,,Unkn,G2,None
,B06,SYBR,,Unkn,G2,None
,B07,SYBR,,Unkn,,None
,B08,SYBR,,Unkn,,None
,B09,SYBR,,Unkn,H.flu,84.5
,B10,SYBR,,Unkn,H.flu,84.5
,B11,SYBR,,Unkn,mixed bac,84.5
,B12,SYBR,,Unkn,mixed bac,85.7
,B12,SYBR,,Unkn,mixed bac,84.5
,C01,SYBR,,Unkn,A3,86
,C02,SYBR,,Unkn,A3,85.8
,C03,SYBR,,Unkn,E3,86
,C04,SYBR,,Unkn,E3,None
,C05,SYBR,,Unkn,G3,None
,C06,SYBR,,Unkn,G3,None
,C07,SYBR,,Unkn,,None
,C08,SYBR,,Unkn,,None
,C09,SYBR,,Unkn,,None
,C10,SYBR,,Unkn,,None
,C11,SYBR,,Neg Ctrl,TE,None
,C12,SYBR,,Neg Ctrl,H2O,None
,D01,SYBR,,Unkn,A4,85.9
,D02,SYBR,,Unkn,A4,85.9
,D03,SYBR,,Unkn,E4,86.1
,D04,SYBR,,Unkn,E4,86.2
,D05,SYBR,,Unkn,G4,None
,D06,SYBR,,Unkn,G4,None
,D07,SYBR,,Unkn,,None
,D08,SYBR,,Unkn,,None
,D09,SYBR,,Unkn,,None
,D10,SYBR,,Unkn,,None
,D11,SYBR,,Unkn,,None
,D12,SYBR,,Unkn,,None
,E01,SYBR,,Unkn,C1,85.7
,E02,SYBR,,Unkn,C1,85.6
,E03,SYBR,,Unkn,F1,86.1
,E04,SYBR,,Unkn,F1,86.2
,E05,SYBR,,Unkn,H1,86.2
,E06,SYBR,,Unkn,H1,86.2
,E07,SYBR,,Unkn,,None
,E08,SYBR,,Unkn,,None
,E09,SYBR,,Unkn,,None
,E10,SYBR,,Unkn,,None
,E11,SYBR,,Unkn,,None
,E12,SYBR,,Unkn,,None
,F01,SYBR,,Unkn,C2,85.5
,F02,SYBR,,Unkn,C2,85.5
,F03,SYBR,,Unkn,F2,86
,F04,SYBR,,Unkn,F2,86.1
,F05,SYBR,,Unkn,H2,86.1
,F06,SYBR,,Unkn,H2,86.1
,F07,SYBR,,Unkn,,None
,F08,SYBR,,Unkn,,None
,F09,SYBR,,Unkn,,None
,F10,SYBR,,Unkn,,None
,F11,SYBR,,Unkn,,None
,F12,SYBR,,Unkn,,None
,G01,SYBR,,Unkn,C3,85.5
,G02,SYBR,,Unkn,C3,85.6
,G03,SYBR,,Unkn,F3,86
,G04,SYBR,,Unkn,F3,86
,G05,SYBR,,Unkn,H3,86
,G06,SYBR,,Unkn,H3,86
,G07,SYBR,,Unkn,,None
,G08,SYBR,,Unkn,,None
,G09,SYBR,,Unkn,,None
,G10,SYBR,,Unkn,,None
,G11,SYBR,,Unkn,,None
,G12,SYBR,,Unkn,,None
,H01,SYBR,,Unkn,C4,85.7
,H02,SYBR,,Unkn,C4,85.5
,H03,SYBR,,Unkn,F4,86
,H04,SYBR,,Unkn,F4,86
,H05,SYBR,,Unkn,H4,86
,H06,SYBR,,Unkn,H4,86
,H07,SYBR,,Unkn,,None
,H08,SYBR,,Unkn,,None
,H09,SYBR,,Unkn,,None
,H10,SYBR,,Unkn,,None
,H11,SYBR,,Unkn,,None
,H12,SYBR,,Unkn,,None
