,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,A01,SYBR,,Unkn,A1,86.4,1714.89289351169,83.2,88.6,
,A02,SYBR,,Unkn,A1,86.3,1969.42579271864,82.5,89.7,
,A03,SYBR,,Unkn,H1,86.7,1366.85171225033,83.3,89.7,
,A04,SYBR,,Unkn,H1,86.8,1199.28643449838,83.5,89.6,
,A05,SYBR,,Unkn,,None,None,None,None,
,A06,SYBR,,Unkn,,None,None,None,None,
,A07,SYBR,,Unkn,,None,None,None,None,
,A08,SYBR,,Unkn,,None,None,None,None,
,A09,SYBR,,Unkn,,None,None,None,None,
,A10,SYBR,,Unkn,,None,None,None,None,
,A11,SYBR,,Unkn,,None,None,None,None,
,A12,SYBR,,Unkn,,None,None,None,None,
,B01,SYBR,,Unkn,A2,85.9,1547.73889646169,83.3,88.9,
,B02,SYBR,,Unkn,A2,85.9,1546.85003157006,83.2,88.8,
,B03,SYBR,,Unkn,H2,86,901.230663528191,82.9,88.9,
,B04,SYBR,,Unkn,H2,86,1064.52015001531,82.9,89.1,
,B05,SYBR,,Unkn,,None,None,None,None,
,B06,SYBR,,Unkn,,None,None,None,None,
,B07,SYBR,,Unkn,,None,None,None,None,
,B08,SYBR,,Unkn,,None,None,None,None,
,B09,SYBR,,Unkn,,None,None,None,None,
,B10,SYBR,,Unkn,,None,None,None,None,
,B11,SYBR,,Unkn,,None,None,None,None,
,B12,SYBR,,Unkn,,None,None,None,None,
,C01,SYBR,,Unkn,A3,86.1,1539.43001304322,82.8,89.2,
,C02,SYBR,,Unkn,A3,86,1341.81506832621,82.2,88.9,
,C03,SYBR,,Unkn,H3,86.1,1140.4563264195,83,89,
,C04,SYBR,,Unkn,H3,86.1,1158.62115922628,82.6,89.4,
,C05,SYBR,,Unkn,,None,None,None,None,
,C06,SYBR,,Unkn,,None,None,None,None,
,C07,SYBR,,Unkn,,None,None,None,None,
,C08,SYBR,,Unkn,,None,None,None,None,
,C09,SYBR,,Unkn,,None,None,None,None,
,C10,SYBR,,Unkn,,None,None,None,None,
,C11,SYBR,,Neg Ctrl,,None,None,None,None,
,C12,SYBR,,Neg Ctrl,,None,None,None,None,
,D01,SYBR,,Unkn,A4,None,None,None,None,
,D02,SYBR,,Unkn,A4,None,None,None,None,
,D03,SYBR,,Unkn,NO SAMPLE,None,None,None,None,
,D04,SYBR,,Unkn,NO SAMPLE,None,None,None,None,
,D05,SYBR,,Unkn,,None,None,None,None,
,D06,SYBR,,Unkn,,None,None,None,None,
,D07,SYBR,,Unkn,,None,None,None,None,
,D08,SYBR,,Unkn,,None,None,None,None,
,D09,SYBR,,Unkn,,None,None,None,None,
,D10,SYBR,,Unkn,,None,None,None,None,
,D11,SYBR,,Unkn,,None,None,None,None,
,D12,SYBR,,Unkn,,None,None,None,None,
,E01,SYBR,,Unkn,C1,85.7,1196.95458837248,82.8,87.6,
,E02,SYBR,,Unkn,C1,85.7,1556.30875380758,82.8,87.2,
,E03,SYBR,,Unkn,R.Sph,85.7,3008.92822216874,82.8,87.5,
,E04,SYBR,,Unkn,R.Sph,85.7,2743.50688576373,82.5,87.6,
,E05,SYBR,,Unkn,,None,None,None,None,
,E06,SYBR,,Unkn,,None,None,None,None,
,E07,SYBR,,Unkn,,None,None,None,None,
,E08,SYBR,,Unkn,,None,None,None,None,
,E09,SYBR,,Unkn,,None,None,None,None,
,E10,SYBR,,Unkn,,None,None,None,None,
,E11,SYBR,,Unkn,,None,None,None,None,
,E12,SYBR,,Unkn,,None,None,None,None,
,F01,SYBR,,Unkn,C2,85.5,1381.64617375029,82.8,87.4,
,F02,SYBR,,Unkn,C2,85.5,1631.4146230259,82.8,87.4,
,F03,SYBR,,Unkn,H.Flu,84.6,2759.6737867559,81.8,86.3,
,F04,SYBR,,Unkn,H.Flu,84.6,3022.25864934581,82,86.3,
,F05,SYBR,,Unkn,,None,None,None,None,
,F06,SYBR,,Unkn,,None,None,None,None,
,F07,SYBR,,Unkn,,None,None,None,None,
,F08,SYBR,,Unkn,,None,None,None,None,
,F09,SYBR,,Unkn,,None,None,None,None,
,F10,SYBR,,Unkn,,None,None,None,None,
,F11,SYBR,,Unkn,,None,None,None,None,
,F12,SYBR,,Unkn,,None,None,None,None,
,G01,SYBR,,Unkn,C3,86.3,1621.75860139712,82.8,88.5,
,G02,SYBR,,Unkn,C3,86.3,1426.01117310121,83.2,88,
,G03,SYBR,,Unkn,E.coli,86.1,2801.58753924538,83.6,88.8,
,G04,SYBR,,Unkn,E.coli,86.1,2674.2109567934,83.4,88.2,
,G05,SYBR,,Unkn,,None,None,None,None,
,G06,SYBR,,Unkn,,None,None,None,None,
,G07,SYBR,,Unkn,,None,None,None,None,
,G08,SYBR,,Unkn,,None,None,None,None,
,G09,SYBR,,Unkn,,None,None,None,None,
,G10,SYBR,,Unkn,,None,None,None,None,
,G11,SYBR,,Unkn,,None,None,None,None,
,G12,SYBR,,Unkn,,None,None,None,None,
,H01,SYBR,,Unkn,C4,None,None,None,None,
,H02,SYBR,,Unkn,C4,86.1,934.9980205495,83.1,88.5,
,H03,SYBR,,Unkn,Mixed_Bact,84.4,954.769474001808,81.5,84.9,
,H03,SYBR,,Unkn,Mixed_Bact,85.8,1356.56834113643,84.9,87.4,
,H04,SYBR,,Unkn,Mixed_Bact,84.4,1052.31566997069,81.3,84.9,
,H04,SYBR,,Unkn,Mixed_Bact,85.8,1467.37537021382,84.9,87.4,
,H05,SYBR,,Unkn,,None,None,None,None,
,H06,SYBR,,Unkn,,None,None,None,None,
,H07,SYBR,,Unkn,,None,None,None,None,
,H08,SYBR,,Unkn,,None,None,None,None,
,H09,SYBR,,Unkn,,None,None,None,None,
,H10,SYBR,,Unkn,,None,None,None,None,
,H11,SYBR,,Unkn,,None,None,None,None,
,H12,SYBR,,Unkn,,None,None,None,None,
