,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,,Unkn,A1,19.2233119387692,NaN
,A02,SYBR,,Unkn,A1,19.3297121860642,NaN
,A03,SYBR,,Unkn,H1,19.5798327709889,NaN
,A04,SYBR,,Unkn,H1,19.7569872927281,NaN
,A05,SYBR,,Unkn,,NaN,NaN
,A06,SYBR,,Unkn,,NaN,NaN
,A07,SYBR,,Unkn,,NaN,NaN
,A08,SYBR,,Unkn,,NaN,NaN
,A09,SYBR,,Unkn,,NaN,NaN
,A10,SYBR,,Unkn,,NaN,NaN
,A11,SYBR,,Unkn,,NaN,NaN
,A12,SYBR,,Unkn,,NaN,NaN
,B01,SYBR,,Unkn,A2,19.9841943673006,NaN
,B02,SYBR,,Unkn,A2,19.9129597831805,NaN
,B03,SYBR,,Unkn,H2,21.0062801782072,NaN
,B04,SYBR,,Unkn,H2,20.5853052461641,NaN
,B05,SYBR,,Unkn,,NaN,NaN
,B06,SYBR,,Unkn,,NaN,NaN
,B07,SYBR,,Unkn,,NaN,NaN
,B08,SYBR,,Unkn,,NaN,NaN
,B09,SYBR,,Unkn,,NaN,NaN
,B10,SYBR,,Unkn,,NaN,NaN
,B11,SYBR,,Unkn,,NaN,NaN
,B12,SYBR,,Unkn,,NaN,NaN
,C01,SYBR,,Unkn,A3,19.919437906703,NaN
,C02,SYBR,,Unkn,A3,20.027804004975,NaN
,C03,SYBR,,Unkn,H3,19.4028342119824,NaN
,C04,SYBR,,Unkn,H3,19.3724048415849,NaN
,C05,SYBR,,Unkn,,NaN,NaN
,C06,SYBR,,Unkn,,NaN,NaN
,C07,SYBR,,Unkn,,NaN,NaN
,C08,SYBR,,Unkn,,NaN,NaN
,C09,SYBR,,Unkn,,NaN,NaN
,C10,SYBR,,Unkn,,NaN,NaN
,C11,SYBR,,Neg Ctrl,,NaN,NaN
,C12,SYBR,,Neg Ctrl,,NaN,NaN
,D01,SYBR,,Unkn,A4,30.5418607690271,NaN
,D02,SYBR,,Unkn,A4,27.7970793820153,NaN
,D03,SYBR,,Unkn,NO SAMPLE,33.0595307102075,NaN
,D04,SYBR,,Unkn,NO SAMPLE,34.6715746115222,NaN
,D05,SYBR,,Unkn,,NaN,NaN
,D06,SYBR,,Unkn,,NaN,NaN
,D07,SYBR,,Unkn,,NaN,NaN
,D08,SYBR,,Unkn,,NaN,NaN
,D09,SYBR,,Unkn,,NaN,NaN
,D10,SYBR,,Unkn,,NaN,NaN
,D11,SYBR,,Unkn,,NaN,NaN
,D12,SYBR,,Unkn,,NaN,NaN
,E01,SYBR,,Unkn,C1,18.1922368942259,NaN
,E02,SYBR,,Unkn,C1,17.7597916478639,NaN
,E03,SYBR,,Unkn,R.Sph,13.3317273517616,NaN
,E04,SYBR,,Unkn,R.Sph,13.438193642922,NaN
,E05,SYBR,,Unkn,,NaN,NaN
,E06,SYBR,,Unkn,,NaN,NaN
,E07,SYBR,,Unkn,,NaN,NaN
,E08,SYBR,,Unkn,,NaN,NaN
,E09,SYBR,,Unkn,,NaN,NaN
,E10,SYBR,,Unkn,,NaN,NaN
,E11,SYBR,,Unkn,,NaN,NaN
,E12,SYBR,,Unkn,,NaN,NaN
,F01,SYBR,,Unkn,C2,17.9291260320949,NaN
,F02,SYBR,,Unkn,C2,17.6259067819256,NaN
,F03,SYBR,,Unkn,H.Flu,11.0634537282109,NaN
,F04,SYBR,,Unkn,H.Flu,11.7018878549705,NaN
,F05,SYBR,,Unkn,,NaN,NaN
,F06,SYBR,,Unkn,,NaN,NaN
,F07,SYBR,,Unkn,,NaN,NaN
,F08,SYBR,,Unkn,,NaN,NaN
,F09,SYBR,,Unkn,,NaN,NaN
,F10,SYBR,,Unkn,,NaN,NaN
,F11,SYBR,,Unkn,,NaN,NaN
,F12,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,C3,19.6143634776882,NaN
,G02,SYBR,,Unkn,C3,19.7040335700404,NaN
,G03,SYBR,,Unkn,E.coli,12.1555607598514,NaN
,G04,SYBR,,Unkn,E.coli,12.2813177597797,NaN
,G05,SYBR,,Unkn,,NaN,NaN
,G06,SYBR,,Unkn,,NaN,NaN
,G07,SYBR,,Unkn,,NaN,NaN
,G08,SYBR,,Unkn,,NaN,NaN
,G09,SYBR,,Unkn,,NaN,NaN
,G10,SYBR,,Unkn,,NaN,NaN
,G11,SYBR,,Unkn,,NaN,NaN
,G12,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,C4,26.6855427262048,NaN
,H02,SYBR,,Unkn,C4,25.8768104706491,NaN
,H03,SYBR,,Unkn,Mixed_Bact,12.0208949701326,NaN
,H04,SYBR,,Unkn,Mixed_Bact,11.7804859827538,NaN
,H05,SYBR,,Unkn,,NaN,NaN
,H06,SYBR,,Unkn,,NaN,NaN
,H07,SYBR,,Unkn,,NaN,NaN
,H08,SYBR,,Unkn,,NaN,NaN
,H09,SYBR,,Unkn,,NaN,NaN
,H10,SYBR,,Unkn,,NaN,NaN
,H11,SYBR,,Unkn,,NaN,NaN
,H12,SYBR,,Unkn,,NaN,NaN
