Feng_binomial,Feng_common,accepted_name,accepted_genus,accepted_family,functional_type, planted, Notes
Aster hirta,,Felicia hirta,Felicia,Asteraceae,Forb,,"Accepted name assumes ""Aster hirta"" as recorded is a corruption of ""Aster hirtus"", which is a synonym for ""Felicia hirta"""
Aster novae-angliae,New England Aster,Symphyotrichum novae-angliae,Symphyotrichum,Asteraceae,Forb,y,
Coreopsis tripteris,Tall coreopsis,Coreopsis tripteris,Coreopsis,Asteraceae,Forb,y,
Coreopsis palmata,Prairie Coreopsis,Coreopsis palmata,Coreopsis,Asteraceae,Forb,y,
Echinacea pallida,Pale purple coneflower,Echinacea pallida,Echinacea,Asteraceae,Forb,y,
Helianthus grosseserratus,Sawtooth sunflower,Helianthus grosseserratus,Helianthus,Asteraceae,Forb,y,
Heliopsis spp.,*not on original list,Heliopsis helianthoides,Heliopsis,Asteraceae,Forb,y,"Duplicate sample poorly labeled at collection and run as separate species ""in case"". Feng aboveground data and BISON data both aree only one species of Heliopsis potentially present anywhere in IL."
Heliopsis helianthoides,Early Sunflower,Heliopsis helianthoides,Heliopsis,Asteraceae,Forb,y,
Parthenium integrifolium,Wild quinine,Parthenium integrifolium,Parthenium,Asteraceae,Forb,y,
Ratibida pinnata,Yellow coneflower,Ratibida pinnata,Ratibida,Asteraceae,Forb,y,
Rudbeckia hirta,,Rudbeckia hirta,Rudbeckia,Asteraceae,Forb,,
Rudbeckia subtomentosa,Sweet Blackeyed Susan,Rudbeckia subtomentosa,Rudbeckia,Asteraceae,Forb,y,
Silphium integrifolium,Rosin weed,Silphium integrifolium,Silphium,Asteraceae,Forb,y,
Silphium laciniatum,Compass plant,Silphium laciniatum,Silphium,Asteraceae,Forb,y,
Silphium perfoliatum,Cupplant,Silphium perfoliatum,Silphium,Asteraceae,Forb,y,
Silphium terebinthinaceum,Prairie dock,Silphium terebinthinaceum,Silphium,Asteraceae,Forb,y,
Solidago canadensis,,Solidago canadensis,Solidago,Asteraceae,Forb,,
Solidago rigida,Stiff goldenrod,Solidago rigida,Solidago,Asteraceae,Forb,y,
Taraxacum officinale,Dandelion,Taraxacum officinale,Taraxacum,Asteraceae,Forb,,
Carex bicknellii,Copper-shouldered oval sedge,Carex bicknellii,Carex,Cyperaceae,C3 grass,y,
Astragalus canadensis,Canada Milk Vetch,Astragalus canadensis,Astragalus,Fabaceae,N fixer,y,
Baptisia leucantha,White Wild Indigo,Baptisia alba,Baptisia,Fabaceae,N fixer,y,
Baptisia spp2,,Baptisia,Baptisia,Fabaceae,N fixer,,Feng unsure what species this is but confident it is a Baptisia different from B. alba.
Dalea purpurea,Purple prairie clover,Dalea purpurea,Dalea,Fabaceae,N fixer,y,
Desmodium canadense,Showy tick trefoil,Desmodium canadense,Desmodium,Fabaceae,N fixer,y,
Lespedeza capitata,Round Head Bush Clover,Lespedeza capitata,Lespedeza,Fabaceae,N fixer,y,
Monarda fistulosa,Wild bergamot,Monarda fistulosa,Monarda,Lamiaceae,Forb,y,
Pycnanthemum virginianum,Common mountain mint,Pycnanthemum virginianum,Pycnanthemum,Lamiaceae,Forb,y,
Penstemon digitalis,Foxglove Beardtongue,Penstemon digitalis,Penstemon,Plantaginaceae,Forb,y,
Veronicastrum virginicum,Culver's root,Veronicastrum virginicum,Veronicastrum,Plantaginaceae,Forb,y,
Andropogon gerardii,Big bluestem,Andropogon gerardii,Andropogon,Poaceae,C4 grass,y,
Elymus canadensis,Canada wild rye,Elymus canadensis,Elymus,Poaceae,C3 grass,y,
Schizachyrium scoparium,Little bluestem,Schizachyrium scoparium,Schizachyrium,Poaceae,C4 grass,y,
Sorghastrum nutans,Indian grass,Sorghastrum nutans,Sorghastrum,Poaceae,C4 grass,y,
